seed,scenario,population,name,budget,alarms,n_episodes,detected,median_lead_d,worst_lead_d,mean_lead_d,precision,median_capture,worst_capture,false_alerts_per_asset_month,evaluation,missed,expected_asset_days,score_fraction,threshold
20260911,clean,whole_fleet,raw,72,5,4,3,1.9535396923148147,0.0,1.38339410402392,0.6,0.03867309453955883,0.0,0.06944444444444445,chronological_replay,1,864,0.9583333333333334,4.894857808907832
20260911,clean,whole_fleet,directional,72,9,4,4,3.3998583851099533,0.045140503449074075,3.2490898474942127,0.7777777777777778,0.1133573274332832,0.002357552174273223,0.06944444444444445,chronological_replay,0,864,0.9583333333333334,31.442679822908815
20260911,clean,whole_fleet,mahalanobis,72,11,4,4,3.3998583851099533,1.0451405034490742,3.999089847494213,0.6363636363636364,0.1133573274332832,0.05458453225066805,0.1388888888888889,chronological_replay,0,864,0.9583333333333334,1116.6720062715287
20260911,clean,whole_fleet,isolation_forest,72,7,4,3,4.151502116307871,0.0,3.6504062955092587,0.7142857142857143,0.09859729441467233,0.0,0.06944444444444445,chronological_replay,1,864,0.9583333333333334,0.7893075702568996
20260911,clean,affected_assets,raw,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.9444444444444444,4.894857808907832
20260911,clean,affected_assets,directional,72,3,1,1,4.846177077905092,4.846177077905092,4.846177077905092,0.6666666666666666,0.1539077873370165,0.1539077873370165,0.1388888888888889,chronological_replay,0,216,0.9444444444444444,31.442679822908815
20260911,clean,affected_assets,mahalanobis,72,3,1,1,4.846177077905092,4.846177077905092,4.846177077905092,0.6666666666666666,0.1539077873370165,0.1539077873370165,0.1388888888888889,chronological_replay,0,216,0.9444444444444444,1116.6720062715287
20260911,clean,affected_assets,isolation_forest,72,3,1,1,4.846177077905092,4.846177077905092,4.846177077905092,0.6666666666666666,0.1539077873370165,0.1539077873370165,0.1388888888888889,chronological_replay,0,216,0.9444444444444444,0.7893075702568996
20260911,missing_channel,whole_fleet,raw,72,5,4,3,1.9535396923148147,0.0,1.38339410402392,0.6,0.03867309453955883,0.0,0.06944444444444445,chronological_replay,1,864,0.7233796296296297,4.894857808907832
20260911,missing_channel,whole_fleet,directional,72,6,4,3,1.9535396923148147,0.0,2.716727437357253,0.8333333333333334,0.03758220985191157,0.0,0.034722222222222224,chronological_replay,1,864,0.7233796296296297,31.442679822908815
20260911,missing_channel,whole_fleet,mahalanobis,72,8,4,3,1.9535396923148147,0.0,3.716727437357253,0.625,0.06369569989010898,0.0,0.10416666666666666,chronological_replay,1,864,0.7233796296296297,1116.6720062715287
20260911,missing_channel,whole_fleet,isolation_forest,72,4,4,2,3.0525209043113426,0.0,3.0525209043113426,0.75,0.03640343376477496,0.0,0.034722222222222224,chronological_replay,2,864,0.7233796296296297,0.7893075702568996
20260911,missing_channel,affected_assets,raw,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.004629629629629629,4.894857808907832
20260911,missing_channel,affected_assets,directional,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.004629629629629629,31.442679822908815
20260911,missing_channel,affected_assets,mahalanobis,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.004629629629629629,1116.6720062715287
20260911,missing_channel,affected_assets,isolation_forest,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.004629629629629629,0.7893075702568996
20260911,sensor_offset,whole_fleet,raw,72,32,4,4,1.9993400978819444,0.15150211630787036,1.9990898474942131,0.15625,0.08980918992830639,0.0045393215495677566,0.9375,chronological_replay,0,864,0.9583333333333334,4.894857808907832
20260911,sensor_offset,whole_fleet,directional,72,9,4,4,3.3998583851099533,0.045140503449074075,3.2490898474942127,0.7777777777777778,0.1133573274332832,0.002357552174273223,0.06944444444444445,chronological_replay,0,864,0.9583333333333334,31.442679822908815
20260911,sensor_offset,whole_fleet,mahalanobis,72,15,4,4,3.3998583851099533,1.0451405034490742,3.999089847494213,0.4666666666666667,0.1133573274332832,0.05458453225066805,0.2777777777777778,chronological_replay,0,864,0.9583333333333334,1116.6720062715287
20260911,sensor_offset,whole_fleet,isolation_forest,72,7,4,3,4.151502116307871,0.0,3.6504062955092587,0.7142857142857143,0.09859729441467233,0.0,0.06944444444444445,chronological_replay,1,864,0.9583333333333334,0.7893075702568996
20260911,sensor_offset,affected_assets,raw,72,27,1,1,3.8461770779050926,3.8461770779050926,3.8461770779050926,0.07407407407407407,0.12214918981512243,0.12214918981512243,3.4722222222222223,chronological_replay,0,216,0.9444444444444444,4.894857808907832
