name,budget,alarms,n_episodes,detected,median_lead_d,worst_lead_d,mean_lead_d,precision,median_capture,worst_capture,false_alerts_per_asset_month,evaluation,missed,frozen_threshold
raw,72,14,6,4,8.010151128055556,0.0,7.606391102844329,0.9285714285714286,0.19061601539702483,0.0,0.010416666666666666,chronological_replay,2,4.664980688979929
ewma,72,37,6,6,9.076659394699075,1.4620419742939816,9.003448659592978,0.5675675675675675,0.25615686756500283,0.07697081496222728,0.16666666666666666,chronological_replay,0,1.895360747388471
isolation_forest,72,32,6,6,12.956677933119213,6.050166570844907,12.836781992926312,0.90625,0.43179518489919655,0.19896900628442357,0.03125,chronological_replay,0,0.7128860590996126
pca,72,32,6,6,12.536643951909724,6.050166570844907,12.336781992926312,0.84375,0.3889742764084243,0.19896900628442357,0.052083333333333336,chronological_replay,0,10.26882085252369
mahalanobis,72,32,6,6,13.456677933119213,6.050166570844907,12.836781992926312,0.90625,0.4352025539550879,0.19896900628442357,0.03125,chronological_replay,0,181.96401946529798
lof,72,33,6,6,14.456677933119213,6.050166570844907,13.170115326259646,0.8787878787878788,0.4352025539550879,0.19896900628442357,0.041666666666666664,chronological_replay,0,6.100700515047524
headway_directional,72,33,6,6,14.456677933119213,6.050166570844907,13.170115326259646,0.8787878787878788,0.4352025539550879,0.19896900628442357,0.041666666666666664,chronological_replay,0,11.652652516043885
headway_distance,72,32,6,6,13.456677933119213,6.050166570844907,12.836781992926312,0.90625,0.4352025539550879,0.19896900628442357,0.03125,chronological_replay,0,13.944076975549123
